country_iso3,country_name,region,subregion,income_group,is_sovereign,trajectory_score_static_2045,trajectory_score_ml_2045,trajectory_score_delta_ml_minus_static,trajectory_rank_static_2045,trajectory_rank_ml_2045,trajectory_rank_delta_static_minus_ml
SRB,Serbia,Europe,Southern Europe,Upper middle income,true,0.3104513250031661,0.3103949883520445,-5.633665112159125E-5,68,68,0
JPN,Japan,Asia,Eastern Asia,High income,true,0.5570452979283489,0.5569910393073342,-5.425862101471335E-5,17,17,0
QAT,Qatar,Asia,Western Asia,High income,true,0.41025875311820903,0.41020506061656326,-5.369250164577455E-5,43,43,0
NAM,Namibia,Africa,Southern Africa,Upper middle income,true,0.22734425246900247,0.22729108285472888,-5.316961427359601E-5,109,106,3
SVN,Slovenia,Europe,Southern Europe,High income,true,0.5105323403626423,0.5104799421274924,-5.23982351499086E-5,28,28,0
URY,Uruguay,Americas,South America,High income,true,0.4517329845741775,0.4516823942511553,-5.059032302218158E-5,37,37,0
MDA,Moldova,Europe,Eastern Europe,Upper middle income,true,0.33051009665233827,0.33045979098791145,-5.030566442681961E-5,61,61,0
RUS,Russian Federation,Europe,Eastern Europe,Upper middle income,true,0.16990887392574008,0.1698586447763076,-5.0229149432479137E-5,163,157,6
VEN,Venezuela,Americas,South America,Upper middle income,true,0.14008112362374991,0.14003099752675985,-5.0126096990066316E-5,182,174,8
UKR,Ukraine,Europe,Eastern Europe,Lower middle income,true,0.173056218976716,0.17300663572726208,-4.9583249453921674E-5,159,153,6
SLE,Sierra Leone,Africa,Western Africa,Low income,true,0.09637074320527528,0.09632228478776986,-4.845841750542035E-5,202,192,10
LTU,Lithuania,Europe,Northern Europe,High income,true,0.4741195122582016,0.4740726560789132,-4.685617928840147E-5,32,32,0
LVA,Latvia,Europe,Northern Europe,High income,true,0.46818822958349005,0.46814151032083484,-4.6719262655203764E-5,34,34,0
GNQ,Equatorial Guinea,Africa,Middle Africa,Upper middle income,true,0.08775317677531559,0.0877082289219461,-4.49478533694897E-5,207,194,13
DZA,Algeria,Africa,Northern Africa,Upper middle income,true,0.23815594415658006,0.23811200222853243,-4.394192804763053E-5,98,96,2
MEX,Mexico,Americas,Central America,Upper middle income,true,0.2856289313097762,0.28558520735507187,-4.372395470431112E-5,79,79,0
TUR,Turkey,Asia,Western Asia,Upper middle income,true,0.26834604324999933,0.2683028905957505,-4.315265424881254E-5,82,82,0
IRQ,Iraq,Asia,Western Asia,Upper middle income,true,0.147070789288844,0.14702830791049407,-4.2481378349945587E-5,175,168,7
TJK,Tajikistan,Asia,Central Asia,Lower middle income,true,0.16856677414108578,0.16852609634759697,-4.067779348881917E-5,164,158,6
