country_name,country_iso3,region_name,subregion,income_group,trajectory_score_2023,trajectory_score_2045,trajectory_change_2023_2045,rise_potential_score,momentum_score,momentum_band,forecast_score_completeness,quadrant
India,IND,Asia,Southern Asia,Lower middle income,0.16343108246305454,0.17898029532683213,0.015549212863777584,-0.013599048119348298,-0.009737729909399107,stable,complete,Structural Risk
Cambodia,KHM,Asia,South-eastern Asia,Lower middle income,0.12747581909303135,0.1282127352148103,7.369161217789522E-4,-0.013810416001966468,-0.015178943643420355,stable,complete,Structural Risk
Malawi,MWI,Africa,Eastern Africa,Low income,0.17566394523415485,0.17475727149610648,-9.066737380483691E-4,-0.015957510064789786,-0.019351670070994573,stable,complete,Structural Risk
Philippines,PHL,Asia,South-eastern Asia,Lower middle income,0.15487999828047286,0.15886787185871695,0.003987873578244094,-0.016465074273804618,-0.014831083072089383,stable,complete,Structural Risk
Djibouti,DJI,Africa,Eastern Africa,Lower middle income,0.10697077161826664,0.11371092013652469,0.006740148518258049,-0.021328823499439375,-0.01768811587436085,stable,complete,Structural Risk
Côte d'Ivoire,CIV,Africa,Western Africa,Lower middle income,0.1019185802469107,0.10483055493977997,0.0029119746928692736,-0.023112876914065016,-0.019877197669631363,stable,complete,Structural Risk
Iraq,IRQ,Asia,Western Asia,Upper middle income,0.15461339987727,0.147070789288844,-0.00754261058842598,-0.023549247618589002,-0.023374531372637897,stable,complete,Structural Risk
Uganda,UGA,Africa,Eastern Africa,Low income,0.12489957984494145,0.13140816652684256,0.006508586681901116,-0.02396802884790874,-0.020412982348578634,stable,complete,Structural Risk
Zimbabwe,ZWE,Africa,Eastern Africa,Lower middle income,0.06694885089393507,0.07910915702155583,0.012160306127620757,-0.029826002967709125,-0.020182006998699133,stable,complete,Structural Risk
Mauritania,MRT,Africa,Western Africa,Lower middle income,0.12654260709173007,0.13313704396834564,0.006594436876615567,-0.03432361845736527,-0.027709646991915794,stable,complete,Structural Risk
Angola,AGO,Africa,Middle Africa,Lower middle income,0.09024410005103597,0.08986907172524863,-3.75028325787341E-4,-0.0344222447735692,-0.028270939483160198,stable,complete,Structural Risk
Liberia,LBR,Africa,Western Africa,Low income,0.11963652079920926,0.11618273831582658,-0.0034537824833826836,-0.0348550858037986,-0.03083560715605516,stable,complete,Structural Risk
Comoros,COM,Africa,Eastern Africa,Lower middle income,0.087759458091488,0.09725835783236594,0.009498899740877947,-0.03582560508755491,-0.026129934754437624,stable,complete,Structural Risk
Myanmar,MMR,Asia,South-eastern Asia,Lower middle income,0.06633758901909755,0.07275914125414175,0.006421552235044203,-0.03906386695522264,-0.02837132494282675,stable,complete,Structural Risk
Congo,COG,Africa,Middle Africa,Lower middle income,0.08050514390338895,0.08226294738605869,0.0017578034826697397,-0.04015678029937458,-0.031196347623000435,stable,complete,Structural Risk
Kenya,KEN,Africa,Eastern Africa,Lower middle income,0.11077737189908765,0.11459741414651214,0.0038200422474244933,-0.045677990706949945,-0.033441968600962386,stable,complete,Structural Risk
Madagascar,MDG,Africa,Eastern Africa,Low income,0.0797899731536767,0.0835609029651401,0.0037709298114634027,-0.047724649843883984,-0.035847670090137895,stable,complete,Structural Risk
Haiti,HTI,Americas,Caribbean,Lower middle income,0.05630036183645164,0.05500490202361748,-0.00129545981283416,-0.047886989477649466,-0.03644952415990937,stable,complete,Structural Risk
Sierra Leone,SLE,Africa,Western Africa,Low income,0.09499840735281173,0.09637074320527528,0.0013723358524635465,-0.054674426244443707,-0.04212846426698574,stable,complete,Structural Risk
Guinea,GIN,Africa,Western Africa,Low income,0.038779155484370526,0.040650130913039983,0.001870975428669458,-0.05638511345456437,-0.04064399390924755,stable,complete,Structural Risk
